# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis	0.0	4.97087069771e-06	3.98792456442e-06	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales	4.50868243417e-05	0.000183922215815	0.000119637736933	1.72059587676e-05
k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales	9.66146235894e-05	4.97087069771e-06	0.0	1.37647670141e-05
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__	0.0	0.0	6.38067930307e-05	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales	0.00094038233627	0.00202811524467	0.0106078793414	0.000739856227009
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.0070271036224	0.0336179985286	0.0166376212828	0.0028802774977
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales	5.79687741537e-05	3.97669655817e-05	9.17222649816e-05	2.40883422747e-05
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales	0.000747153089092	0.000656154932098	0.000330997738847	0.00549902442214
k__Fungi;p__Basidiomycota;c__Ustilaginomycotina_cls_Incertae_sedis;o__Malasseziales	1.28819498119e-05	0.0	2.39275473865e-05	7.57062185776e-05
k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales	1.93229247179e-05	0.0	3.98792456442e-06	1.72059587676e-05
k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales	0.0	4.97087069771e-06	0.0	0.00232624562538
k__Fungi;p__Chytridiomycota;c__;o__	0.00030272582058	0.000298252241863	0.000131601510626	0.000282177723789
k__Fungi;p__Chytridiomycota;c__Blastocladiomycetes;o__Blastocladiales	1.28819498119e-05	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__	0.000238316071521	2.98252241863e-05	7.17826421595e-05	6.5382643317e-05
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales	5.15277992477e-05	7.45630604657e-05	0.000103686038675	0.000230559847486
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_ord_Incertae_sedis	2.57638996238e-05	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophlyctidales	0.0	4.97087069771e-06	0.000199396228221	0.000392295859902
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales	0.00117869840779	0.000213747440002	0.00419928456633	0.0133277356614
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales	0.00207399391972	0.00023860179349	0.000701874723338	0.000987622033263
k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes;o__	0.000128819498119	4.97087069771e-06	5.98188684663e-05	1.72059587676e-05
k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes;o__Monoblepharidales	7.08507239656e-05	3.97669655817e-05	2.39275473865e-05	3.09707257818e-05
k__Fungi;p__Glomeromycota;c__;o__	0.000586128716443	2.98252241863e-05	8.77343404172e-05	1.03235752606e-05
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__	3.22048745298e-05	9.94174139542e-06	7.97584912884e-06	3.78531092888e-05
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales	1.28819498119e-05	0.0	0.0	2.40883422747e-05
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales	0.00139125057969	2.98252241863e-05	2.79154719509e-05	0.000106676944359
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales	0.0020482300201	0.0006511840614	0.000813536611141	0.000942886540467
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales	0.000953264286082	2.98252241863e-05	3.98792456442e-06	2.40883422747e-05
k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes;o__Neocallimastigales	0.0	0.0	7.97584912884e-06	0.0
k__Fungi;p__Rozellomycota;c__;o__	0.000779357963621	0.000671067544191	0.00696690421404	0.000368207517628
k__Fungi;p__Zygomycota;c__;o__	0.0	4.97087069771e-06	3.98792456442e-06	0.0
k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis;o__Harpellales	6.44097490596e-06	1.98834827908e-05	3.98792456442e-06	3.78531092888e-05
k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis;o__Kickxellales	0.000103055598495	3.4796094884e-05	6.38067930307e-05	3.44119175353e-06
k__Fungi;p__Zygomycota;c__Mortierellomycotina_cls_Incertae_sedis;o__Mortierellales	0.0184533931056	0.0254260036188	0.0408921784836	0.0348833608055
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Endogonales	0.000354253619828	0.000218718310699	0.000291118493203	0.000161736012416
k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales	0.0102797959499	0.0192969200485	0.0215028892513	0.00429804850016
k__Fungi;p__Zygomycota;c__Zoopagomycotina_cls_Incertae_sedis;o__Zoopagales	0.0	0.0	3.98792456442e-06	3.44119175353e-06
k__Plantae;p__;c__;o__	0.0233034472098	0.000298252241863	0.000255227172123	0.0230009256806
k__Plantae;p__Chlorophyta;c__;o__	0.00267944556088	0.000482174457678	0.00186236077158	0.003169337605
k__Protista;p__;c__;o__	0.0	4.97087069771e-06	0.0	0.000165177204169
k__Protista;p__Cercozoa;c__;o__	0.00027052094605	0.000233630922792	0.000291118493203	0.000385413476395
k__Protista;p__Ciliophora;c__;o__	0.0115808728809	0.013336846082	0.019098170739	0.0235205456354
k__Protozoa;p__;c__;o__	1.93229247179e-05	0.0	1.59516982577e-05	6.88238350706e-06
