OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Bacteria;p__Lentisphaerae;c__Oligosphaeria	3	0.3916	0.4315	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	3	0.3916	0.4315	1	0.0316	0.0288	0.0343	0.0256
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	3	0.3916	0.4315	1	0	0	0	0
k__Bacteria;p__Synergistetes;c__Synergistia	3	0.3916	0.4315	1	0	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes	3	0.3916	0.4315	1	0	0	0	0
k__Bacteria;p__Thermotogae;c__Thermotogae	3	0.3916	0.4315	1	0.0044	0.0035	0.0082	0.0053
k__Archaea;p__Miscellaneous Crenarchaeotic Group;c__	2.7772	0.4273	0.4668	1	0	0	0	0
k__Bacteria;p__Omnitrophica;c__NPL-UPA2	2.3053	0.5115	0.5498	1	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Chloroflexia	2.2821	0.516	0.5498	1	0.0102	0.0065	0.0078	0.0082
k__Bacteria;p__Proteobacteria;c__ARKICE-90	2.2821	0.516	0.5498	1	0	0	0	0
k__Bacteria;p__GAL08;c__	2.2121	0.5296	0.5597	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__JTB23	1.9785	0.5769	0.5961	1	0	0	0	0
k__Bacteria;Other;Other	1.9744	0.5777	0.5961	1	2e-04	2e-04	5e-04	2e-04
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.9744	0.5777	0.5961	1	0.0422	0.0399	0.0866	0.042
Unassigned;Other;Other	1.7692	0.6217	0.6314	1	0.0277	0.019	0.0256	0.0231
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1.7692	0.6217	0.6314	1	0.065	0.0769	0.0552	0.0756
k__Bacteria;p__Firmicutes;c__Clostridia	1.2564	0.7395	0.7452	1	8e-04	4e-04	5e-04	6e-04
k__Bacteria;p__Acidobacteria;c__Holophagae	0.4872	0.9217	0.9217	1	0.0223	0.0191	0.0201	0.0213
