	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_31251_1.txt	31251	1	5102.6798419	4216.62971698	4681.86026201	4925.63656885	5432.65263158	4545.97991968	4454.15979381	4894.94155844	527.6	6404.29947917	4367.27840909	4679.85813149
alpha_rarefaction_31251_2.txt	31251	2	5237.25748503	4368.53300733	5036.79572447	5210.4235589	4683.12140575	3959.37102473	4331.17985612	4876.69037657	565.0	5852.15	4015.68698061	4482.09246575
alpha_rarefaction_31251_3.txt	31251	3	4922.69557196	4475.83627204	4731.08163265	5047.12470024	5053.43902439	4053.09302326	4417.73670886	4732.25050916	540.75	5955.01449275	4394.37719298	4234.5448505
alpha_rarefaction_31251_4.txt	31251	4	5080.25904762	4340.82733813	4775.75688073	5169.34782609	4859.21262458	4197.7265625	4407.6	4822.41448692	604.815384615	5971.91142191	4444.49546828	4118.56603774
alpha_rarefaction_31251_5.txt	31251	5	4964.41959335	4238.0	4531.28348214	5228.0245098	5056.34589041	4089.68478261	4463.68513854	4881.54375	556.01369863	6358.856	4224.18390805	4519.32871972
alpha_rarefaction_31251_6.txt	31251	6	4983.09902913	4439.79126214	4501.61853448	5119.71770335	5250.125	4526.80645161	4144.14186047	5050.69072165	591.5	6702.1484375	4143.1233244	4576.96503497
alpha_rarefaction_31251_7.txt	31251	7	5035.21126761	4232.35135135	4687.04109589	5017.68660287	5447.05434783	3906.1137931	4679.42118863	4825.82352941	530.614457831	5942.18705036	4073.14876033	4853.29739777
alpha_rarefaction_31251_8.txt	31251	8	4912.57061069	4231.60321101	4654.71956522	4976.60431655	5224.73498233	3869.46666667	4309.08716707	4717.63253012	622.825	5973.02427184	4132.10084034	4344.12244898
alpha_rarefaction_31251_9.txt	31251	9	4937.59528487	4303.48201439	4710.00228833	5067.74064838	4879.45084746	4061.46575342	4470.89030612	4761.03784861	561.590909091	5815.22979798	4222.52136752	4472.17628205
alpha_rarefaction_35714_0.txt	35714	0	5274.03398927	4365.475	4738.49094567	5349.64551422	5193.1	4457.16225166	4566.11460674	5062.59444444	564.584415584	6118.27173913	4537.59473684	4761.0
alpha_rarefaction_35714_1.txt	35714	1	5199.86404293	4395.22435897	4998.10570825	5256.74626866	5259.85185185	4592.6445993	4603.53246753	4980.90697674	604.486486486	6304.79569892	4105.37931034	4959.6910828
alpha_rarefaction_35714_2.txt	35714	2	5053.31282051	4418.26963907	4698.1547619	5462.92904656	5282.81034483	4306.88888889	4813.78947368	5142.87337058	575.04109589	6045.47058824	4376.6	4703.8265896
alpha_rarefaction_35714_3.txt	35714	3	5112.60787671	4150.00814664	4627.53307393	5454.31428571	5047.04261364	4301.21543408	4713.83564815	4990.90744102	638.892857143	6257.79379157	4220.00719424	5185.37162162
alpha_rarefaction_35714_4.txt	35714	4	4996.72413793	4409.79331942	4651.72332016	5091.75498008	5527.48726115	4293.84012539	4631.90300231	5027.19367589	610.863013699	6202.12676056	4209.65348837	4850.65676568
alpha_rarefaction_35714_5.txt	35714	5	5221.74742268	4302.0877551	5011.96015936	5026.9874477	5368.20183486	4298.46056782	4625.37162162	5090.14857143	612.5	6092.61572052	4065.63839286	4524.65680473
