Class	CK	CK	CK	JXBR16	JXBR16	JXBR16	RW37	RW37	RW37	R37J16	R37J16	R37J16
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae|g__Neokalmusia|s__Neokalmusia_brevispora	0	0	0.000208982776336184	0	0	5.72033292337614e-05	0	0	0	0	1.25794075099063e-05	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae|g__Roussoella	0	0	0	0	2.380697306241e-05	0	0	0	0	0	0	5.87552696132434e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae|g__Roussoella|s__Roussoella_hysterioides	0	0	0	0	0	0	0	0	0	0	0	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lentitheciaceae	1.87987592818874e-05	0	0.000452796015395065	0.000105849228359125	0.00021426275756169	7.15041615422018e-05	0.00333469191151951	0.000284687377673392	0	0.000445809871781204	0.000805082080634002	0.00177734690580061
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae	3.75975185637748e-05	6.72043010752688e-05	0	0	0	0	0	0	0	3.87660758070612e-05	0.00945971444744953	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae|g__Subplenodomus	3.75975185637748e-05	6.72043010752688e-05	0	0	0	0	0	0	0	3.87660758070612e-05	0.00945971444744953	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae|g__Subplenodomus|s__Subplenodomus_apiicola	3.75975185637748e-05	6.72043010752688e-05	0	0	0	0	0	0	0	3.87660758070612e-05	0.00945971444744953	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae	0.000845944167684933	0.000739247311827957	0.000818515873983386	0.00355653407286661	0.000464235974716995	0.000300317478477247	0.00188965874986105	0.000320273299882566	7.75980090567962e-05	0.000513650504443562	0.00367318699289264	0.000308465165469528
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Acrocalymma	7.51950371275496e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Acrocalymma|s__Acrocalymma_fici	7.51950371275496e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Biappendiculispora	0	0	0	0	0	0	0	0	7.75980090567962e-05	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Biappendiculispora|s__Biappendiculispora_japonica	0	0	0	0	0	0	0	0	7.75980090567962e-05	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Lophiostoma	0.000770749130557383	0.000739247311827957	0.000818515873983386	0.00355653407286661	0.000464235974716995	0.000300317478477247	0.00188965874986105	0.000320273299882566	0	0.000513650504443562	0.00367318699289264	0.000308465165469528
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Lophiostomataceae|g__Lophiostoma|s__Lophiostoma_cynaroidis	0.000150390074255099	2.24014336917563e-05	0.000574702634924505	0.00326015623346106	0	0.000214512484626605	0.000944829374930527	0	0	0	0.000276746965217938	1.46888174033109e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Massarinaceae	3.75975185637748e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Massarinaceae|g__Helminthosporium	3.75975185637748e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Massarinaceae|g__Helminthosporium|s__Helminthosporium_asterinum	3.75975185637748e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Montagnulaceae	0.00242503994736347	0	0	2.11698456718251e-05	0	0	5.55781985253251e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae	0.000187987592818874	0.000515232974910394	0.000313474164504275	0.00156656857971505	0.00205930316989846	0.00104396075851615	0.00125977249990737	0.00119212839400733	0	0.00200614442301542	0.0106421787533807	0.000499419791712569
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Ophiosphaerella	0	8.96057347670251e-05	3.48304627226973e-05	0	0	4.29024969253211e-05	0.000666938382303902	0	0	0	0.00124536134348072	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Ophiosphaerella|s__Ophiosphaerella_agrostidis	0	4.48028673835125e-05	3.48304627226973e-05	0	0	2.86016646168807e-05	0	0	0	0	0.000138373482608969	2.93776348066217e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Phaeosphaeria	7.51950371275496e-05	0.000291218637992832	0.000208982776336184	0.0015242288883714	0.00194026830458641	0.000915253267740182	0.000296417058801734	0.000729511405288068	0	0.00159910062704128	0.00929618214982074	0.000440664522099326
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Setophaeosphaeria	3.75975185637748e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Setophaeosphaeria|s__Setophaeosphaeria_badalingensis	3.75975185637748e-05	0	0	0	0	0	0	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleomassariaceae	0.000187987592818874	0.00132168458781362	0.00635655944689225	0.000783284289857527	0.00073801616493471	0.000114406658467523	0.00122272036755715	0.00327390484324401	0	0.00194799530930483	0.00982451726523682	0.00340780563756812
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleomassariaceae|g__Trematosphaeria	5.63962778456622e-05	0.000896057347670251	1.74152313613486e-05	0	0	0	1.85260661751084e-05	3.5585922209174e-05	0	0.000823779110900051	0.000264167557708032	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleomassariaceae|g__Trematosphaeria|s__Trematosphaeria_hydrela	5.63962778456622e-05	0.000896057347670251	1.74152313613486e-05	0	0	0	1.85260661751084e-05	3.5585922209174e-05	0	0.000823779110900051	0.000264167557708032	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	0.00353416674499483	0.000492831541218638	0.00464986677348009	0.0015242288883714	0.000904664976371579	0.000357520807711009	0.00294564452184223	0.000693925483078894	0.00531546362039054	0.00107575860364595	0.00111956726838166	0.0018948574450271
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	0.000357176426355861	2.24014336917563e-05	0.00367461381724456	0	3.5710459593615e-05	2.86016646168807e-05	0.00101893363963096	0	0.00400184018135763	0	6.28970375495314e-05	4.40664522099326e-05
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria|s__Alternaria_alternata	0	0	1.74152313613486e-05	0	0	0	3.70521323502168e-05	0	0	0	0	0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Bipolaris	0.00131591314973212	4.48028673835125e-05	0.000731439717176643	0	0	1.43008323084404e-05	0	5.33788833137611e-05	0	2.90745568552959e-05	0	0.000102821721823176
