CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Bradyrhizobium	0.00764882269085	0.00785348617393	0.0149511663004	0.00133661352498	0.00177665262752	0.0023527034439	0.0092366282044	0.00725384122228	0.00818197197828	0.00901247881682	0.0107213448599	0.0073911955978
Pseudomonas	0.00156319126972	0.0018650443741	0.000742866526434	0.0271778083412	0.0762598340277	0.00282180075633	0.00173932814187	0.000655510974406	0.00144568677812	0.000241359831562	0.000678818855192	0.000812906453227
Gaiella	0.000639040456177	0.00106573964234	0.001172947147	0.00442955013592	0.00535833891494	0.00410640570422	0.000784402887512	0.000698731478213	0.000799741621938	0.000682996970164	0.000831885851951	0.00083791895948
Candidatus_Solibacter	0.0236739910534	0.0196781212533	0.0159051633133	0.000542393894194	0.000669792364367	0.000627868710488	0.0100380833286	0.00651188924026	0.00716691530429	0.00663482771016	0.00710763271907	0.00667833916958
Rhizomicrobium	0.0113355945534	0.00929350342876	0.012370682577	0.000387424210139	0.000403010659916	5.05181721082e-05	0.0110896379242	0.0126924212847	0.0120576429154	0.00867354798952	0.0127910768596	0.00901700850425
Sphingomonas	0.0147470874502	0.0165633702747	0.0332256828507	0.0355719995609	0.023658428599	0.0184896509916	0.0534417097709	0.054724361237	0.0742606234909	0.0953884866225	0.101749622324	0.0692533766883
Haliangium	0.00653787543627	0.00769489396525	0.0067014380332	0.00667661055473	0.00950196964365	0.00763546087007	0.00641164099358	0.00552502107	0.00697466972209	0.00504801520053	0.00847192551627	0.00854177088544
Flavisolibacter	0.00881875829524	0.00740308430127	0.0144350695558	0.00427458045187	0.00466016551818	0.00949741635634	0.0182061047007	0.0199390590896	0.0112502114701	0.0413136137216	0.033095746734	0.0376750875438
Flavobacterium	0.0330629700634	0.00180160749063	0.000422260972921	0.00205980538391	0.00108983164372	0.000137120752865	5.11567100551e-05	1.44068346023e-05	0.0	0.0	2.66203472624e-05	9.37968984492e-05
Polycyclovorans	0.0103426239984	0.0105749284749	0.00563796595325	0.00323499215466	0.0054434820121	0.00110418290465	0.00460978798386	0.00394026926374	0.00336814260008	0.000991115904072	0.00210966252055	0.00133816908454
Streptomyces	0.00510249225778	0.00493538953418	0.0121282735	0.00216311850661	0.00230453982994	0.00199907623914	0.00628659125789	0.00294619767618	0.00592885375494	0.00585939505983	0.00411949873886	0.00283891945973
Nitrospira	0.00358845794622	0.00581716221445	0.00249446759929	0.0166398698255	0.0123116918501	0.00697872463266	0.00454726311601	0.00440849138831	0.00476769043847	0.00438042417707	0.00503790071941	0.00306403201601
Roseiflexus	0.00445362040997	0.00657206112778	0.0098840346254	0.0036224163648	0.00443879346555	0.00921595796888	0.00783266071733	0.00735468906449	0.00732071177004	0.00502233862271	0.00552372205695	0.00729739869935
Microcoleus	0.00142555178686	0.00404092947722	0.00628699670793	0.0	4.54096518215e-05	0.0	0.000494514863866	0.00335679246234	0.0012688208425	0.00553587017922	0.000838540938767	0.000318909454727
Terrimonas	0.00145504596176	0.00112283283747	0.00249446759929	0.00560473690668	0.00484180412547	0.00575907162033	0.00203490024442	0.00119576727199	0.00261453991787	0.00131977610024	0.00098495284871	0.00181340670335
Mucilaginibacter	0.00278228383228	0.00372374505985	0.00380816840393	1.93712105069e-05	8.51430971653e-05	9.38194624866e-05	0.00243278576707	0.00199534659242	0.00306823949186	0.00679915780825	0.00509114141394	0.00285767883942
Arthrobacter	0.00507299808288	0.0182825098169	0.0211834254748	0.0300253762858	0.0203775812549	0.0420166854306	0.0324788268061	0.0232454276309	0.0188708263484	0.0322959995892	0.0186675185178	0.0307153576788
Alkanindiges	0.0	0.00614703400851	2.345894294e-05	0.0	1.70286194331e-05	0.0	0.0	0.0	0.0	0.0	1.99652604468e-05	0.0
Devosia	0.000933982205181	0.00130045611119	0.00197837085461	0.00238911596252	0.00312191356273	0.0074983401172	0.00357528562496	0.00319111386442	0.00359114747543	0.00220818569301	0.00356712653317	0.00238244122061
GAL15	0.00633141621196	0.00387599358019	0.00312785905867	0.0048298884864	0.00480207068012	0.0151121503421	0.00819075768772	0.00522247754335	0.00258378062472	0.00282955887639	0.0040928783916	0.00359554777389
Arenimonas	0.000481738190041	0.0003489028591	0.000390982382334	0.00554016620499	0.00565350165178	0.00520337172714	0.000733246177457	0.00119576727199	0.00213008105074	0.000636779130078	0.00210966252055	0.0016695847924
Lysobacter	0.000530895148208	0.000323528105711	0.000555194982914	0.0117841530584	0.013225561093	0.00870355936607	0.00163701472176	0.00118856385469	0.00216084034389	0.00228521542649	0.00236255581954	0.00542771385693
Rhodanobacter	0.00540726539842	0.00386964989184	0.0018767154352	3.87424210139e-05	0.0	0.0	0.00460410390496	0.0139818329816	0.00932775564818	0.00762594361424	0.0121056029176	0.00836668334167
