CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Micrococcaceae	0.00532861426535	0.0185489447274	0.021511850676	0.0300318333559	0.0203832574614	0.042031119194	0.0327857670664	0.0234903438191	0.0193322157457	0.0330046731372	0.0190002728586	0.0309217108554
Gemmatimonadaceae	0.0236838224451	0.0265927415518	0.0269386861428	0.0505136599319	0.0474020002952	0.0474798649	0.0437503552549	0.0437967771911	0.0469386813491	0.061844605351	0.0654927093524	0.0595235117559
Anaerolineaceae	0.0282652509463	0.0358545265388	0.0293314983227	0.0149481174412	0.0167050756638	0.0241043849773	0.0190359802194	0.013729713376	0.0206010365882	0.00472449031993	0.00931046645503	0.0167396198099
Burkholderiaceae	0.00960526962592	0.0147173569657	0.0201277730425	0.000839419121968	0.000936574068818	0.000447446667244	0.0245211163531	0.0234615301499	0.0306823949186	0.0339238946233	0.0284970817444	0.010180090045
Pseudomonadaceae	0.00157302266136	0.0018650443741	0.000742866526434	0.0272036366219	0.0762711864407	0.00282901763806	0.00173932814187	0.000655510974406	0.00144568677812	0.000251630462692	0.000692129028823	0.00081915957979
Flavobacteriaceae	0.0331219584132	0.00272778598933	0.000461359211154	0.00207917659441	0.00114659370849	0.000137120752865	0.00010231342011	0.000180085432529	2.30694698636e-05	0.0	0.000259548385809	0.000625312656328
Rhodospirillaceae	0.00468957380917	0.00537944771849	0.0110569817724	0.0056628505382	0.00641411331979	0.00490026269449	0.00525777297789	0.00342162321805	0.0141031359099	0.00276279977405	0.00709432254544	0.00405827913957
0319-6A21	0.00222189450917	0.00215685403807	0.00150137234816	0.0159683345279	0.0107337064493	0.00971392280823	0.00201784800773	0.00156314155435	0.00159948324388	0.00152005340728	0.00132436227631	0.00183216608304
Nitrosomonadaceae	0.046728604434	0.0477870043201	0.0360094774129	0.038096713997	0.0498427690806	0.0345039115499	0.0346558290229	0.023151783206	0.0348579689639	0.0210137112926	0.0254956375906	0.0312156078039
o__SubsectionIII;f__FamilyI	0.00178931327729	0.00669893489473	0.00927410210896	0.000264739876928	0.000437067898782	0.000267024624	0.00107429091116	0.0074051129856	0.00196859476169	0.00770297334771	0.00163715135664	0.00113181590795
o__Subgroup 3;f__Unknown Family	0.0475544413312	0.0422806828346	0.0323811609049	0.00699300699301	0.0048077468866	0.00793856990272	0.0190757687717	0.0141475115795	0.0146414235401	0.0126328762902	0.0138425805765	0.0140445222611
Oxalobacteraceae	0.00612495698766	0.0107525517486	0.0144428892034	0.0118487237601	0.00713499154245	0.00986547732456	0.0444267606434	0.0433141482319	0.0323203272789	0.040363580342	0.0466987441851	0.0611743371686
Nitrospiraceae	0.00360812072949	0.00586156803289	0.00251010689458	0.0166398698255	0.0123116918501	0.00697872463266	0.00454726311601	0.00442289822292	0.00478307008505	0.00438042417707	0.00503790071941	0.00306403201601
Haliangiaceae	0.00653787543627	0.00769489396525	0.0067014380332	0.00667661055473	0.00950196964365	0.00763546087007	0.00641164099358	0.00552502107	0.00697466972209	0.00504801520053	0.00847192551627	0.00854177088544
Comamonadaceae	0.0107358796638	0.0107715828137	0.00958688801483	0.0193582963666	0.0322067955544	0.0256054963771	0.0174614903655	0.013657679203	0.0183709878347	0.0144764545781	0.0234991115459	0.0227113556778
Bradyrhizobiaceae	0.00954628127611	0.00994055964019	0.0171015694033	0.00244722959404	0.00379738213357	0.0040775381773	0.0112772125277	0.00876655885552	0.0113040402332	0.0102654958147	0.0139956475732	0.00928589294647
