OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Peltigerales;f__Lobariaceae;g__Lobariella	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Discocistella	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Gamsylella	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Furcaspora	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Issatchenkia	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus	6.5455	0.0879	0.5976	1	5e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Micropsalliota	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus	6.5455	0.0879	0.5976	1	0	1e-04	0	0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae;g__	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Entrophospora	6.5455	0.0879	0.5976	1	1e-04	0	0	0
k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Orpinomyces	6.5455	0.0879	0.5976	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Arrhenia	6.4087	0.0933	0.5976	1	0.0042	0	0	0
k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__;g__	6.4087	0.0933	0.5976	1	0	0	0	3e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Didymella	6.3133	0.0973	0.5976	1	0	0	0	3e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae;g__Jahnula	6.2912	0.0983	0.5976	1	1e-04	1e-04	1e-04	6e-04
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Candelariales;f__Candelariaceae;g__Candelina	6.2812	0.0987	0.5976	1	0	0	0	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Coniophoraceae;g__Coniophora	6.2812	0.0987	0.5976	1	0	0	0	3e-04
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__;g__	6.2812	0.0987	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	6.151	0.1045	0.5976	1	1e-04	1e-04	0	5e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Pochonia	6.1111	0.1063	0.5976	1	2e-04	0	2e-04	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Blastobotrys	6.0927	0.1072	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scedosporium	6.0927	0.1072	0.5976	1	2e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Ochroconis	6.0854	0.1075	0.5976	1	6e-04	1e-04	1e-04	1e-04
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__;g__	6.0854	0.1075	0.5976	1	0.0019	0	0	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__;g__	6.0769	0.1079	0.5976	1	0.0304	0.0073	0.0052	0.0037
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Chalara	5.9825	0.1125	0.5976	1	0	7e-04	5e-04	0.0062
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__;g__	5.9744	0.1129	0.5976	1	0.0011	3e-04	5e-04	0.0039
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__	5.9744	0.1129	0.5976	1	0.0058	0.0053	5e-04	3e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metacordyceps	5.9118	0.116	0.5976	1	0	1e-04	2e-04	1e-04
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus	5.7995	0.1218	0.5976	1	2e-04	3e-04	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__;f__;g__	5.7692	0.1234	0.5976	1	0.0245	0.0092	0.0073	0.0176
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Zopfiella	5.7692	0.1234	0.5976	1	0.002	6e-04	2e-04	0.0013
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris	5.7619	0.1238	0.5976	1	7e-04	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Coniosporium	5.6667	0.129	0.5976	1	0.003	5e-04	6e-04	0.002
k__Fungi;p__;c__;o__;f__;g__	5.6154	0.1319	0.5976	1	0.0403	0.0312	0.0181	0.0495
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeococcomyces	5.5664	0.1347	0.5976	1	0	0	1e-04	1e-04
k__Fungi;p__Glomeromycota;c__;o__;f__;g__	5.5193	0.1375	0.5976	1	6e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Neogymnomyces	5.5182	0.1376	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Hansfordia	5.5182	0.1376	0.5976	1	0	1e-04	0	1e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Cyathus	5.5182	0.1376	0.5976	1	8e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema	5.5182	0.1376	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Knufia	5.3804	0.146	0.5976	1	2e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__	5.3804	0.146	0.5976	1	0	1e-04	1e-04	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Monographella	5.359	0.1473	0.5976	1	1e-04	1e-04	1e-04	0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Leotiomycetes_fam_Incertae_sedis;g__Geniculospora	5.3003	0.1511	0.5976	1	4e-04	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Eremotheciaceae;g__Eremothecium	5.3003	0.1511	0.5976	1	0	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella	5.3003	0.1511	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__	5.2277	0.1559	0.5976	1	0	0	1e-04	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleomassariaceae;g__Trematosphaeria	5.2105	0.157	0.5976	1	3e-04	0	0	4e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Pyriculariaceae;g__Pseudopyricularia	5.1944	0.1581	0.5976	1	0	3e-04	1e-04	2e-04
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Sphaerobolus	5.0819	0.1659	0.5976	1	0.0025	0.0247	0.0198	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__	4.992	0.1724	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae;g__Elaphomyces	4.992	0.1724	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Emericella	4.992	0.1724	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniales;f__Herpomycetaceae;g__Herpomyces	4.992	0.1724	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Stephanonectria	4.992	0.1724	0.5976	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__	4.992	0.1724	0.5976	1	1e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Myriostoma	4.992	0.1724	0.5976	1	0	0	0	1e-04
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Endochytriaceae;g__Entophlyctis	4.992	0.1724	0.5976	1	0	0	0	0
k__Protista;p__;c__;o__;f__;g__	4.992	0.1724	0.5976	1	0	2e-04	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces	4.9819	0.1731	0.5976	1	2e-04	1e-04	0	1e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramichloridium	4.8783	0.1809	0.5976	1	0	0.0011	0	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Codinaeopsis	4.8783	0.1809	0.5976	1	0	1e-04	0	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chaetosphaeria	4.8632	0.1821	0.5976	1	3e-04	1e-04	7e-04	5e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Halosphaeriaceae;g__	4.849	0.1832	0.5976	1	5e-04	0	0	0
k__Plantae;p__Chlorophyta;c__;o__;f__;g__	4.8462	0.1834	0.5976	1	0.0027	0.0033	5e-04	0.002
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Arthropsis	4.7694	0.1895	0.5976	1	1e-04	0	2e-04	0.0021
k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis;o__Kickxellales;f__Kickxellaceae;g__Spiromyces	4.7507	0.191	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Kabatiella	4.7436	0.1916	0.5976	1	0.0011	1e-04	7e-04	5e-04
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Acidomelania	4.7436	0.1916	0.5976	1	4e-04	0	2e-04	1e-04
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__	4.5139	0.211	0.5976	1	0	1e-04	0	0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thielavia	4.5139	0.211	0.5976	1	1e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__;g__	4.4386	0.2178	0.5976	1	0	1e-04	0	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gliocladiopsis	4.4386	0.2178	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Myrothecium	4.4359	0.2181	0.5976	1	0.0016	0.0011	1e-04	2e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Pseudophialophora	4.4359	0.2181	0.5976	1	8e-04	2e-04	2e-04	4e-04
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales;f__Terramycetaceae;g__Boothiomyces	4.4359	0.2181	0.5976	1	5e-04	0.0065	1e-04	0.0038
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Phoma	4.3846	0.2228	0.5976	1	1e-04	1e-04	3e-04	1e-04
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetidae_ord_Incertae_sedis;f__Annulatascaceae;g__Conlarium	4.3846	0.2228	0.5976	1	0.0022	0.0014	3e-04	0.0023
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae;g__Manglicola	4.3735	0.2239	0.5976	1	1e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__;g__	4.3735	0.2239	0.5976	1	0	1e-04	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania	4.3735	0.2239	0.5976	1	0	1e-04	0	0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__;g__	4.3735	0.2239	0.5976	1	0	0	0	0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus	4.3681	0.2244	0.5976	1	9e-04	0	0	0
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Chionosphaeraceae;g__Chionosphaera	4.3533	0.2258	0.5976	1	0	0	0	1e-04
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Parmelia	4.3442	0.2266	0.5976	1	1e-04	0	0	1e-04
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Scolecobasidium	4.3333	0.2276	0.5976	1	0.002	7e-04	8e-04	0.0012
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium	4.3333	0.2276	0.5976	1	0.0033	0	0	3e-04
