	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_50860_0.txt	50860	0	27894.5333029	27477.244351	24052.0128127	26498.3762712	18220.914748	25121.3620026	20534.673964	22997.3784289	33913.538961	29202.6683938	27024.3703133	21607.1702899
alpha_rarefaction_50860_1.txt	50860	1	28594.9400369	27065.0407539	23972.0688406	27206.9505788	18224.456869	24071.3371894	21090.734472	24315.6938239	32524.8003775	29957.9406119	28078.6810982	21308.5215085
alpha_rarefaction_50860_2.txt	50860	2	28973.4323448	27112.392352	23865.8055893	27081.505742	18779.5851272	25166.1229947	20954.5213537	24604.747319	33343.6285714	29756.4854142	28532.7922078	20935.2974537
alpha_rarefaction_50860_3.txt	50860	3	28052.9101475	26979.7037804	24426.3517495	26110.1038961	17755.3860956	24762.2946237	20568.1943128	24790.5319574	33005.6710526	27932.9113218	27270.1567398	21651.1836364
alpha_rarefaction_50860_4.txt	50860	4	28528.9862448	27213.4637014	24964.9647133	26935.5647713	17421.156073	25845.2665198	20846.0961689	23506.5436893	33007.5958171	28854.0029308	28158.2570681	21143.8184524
alpha_rarefaction_50860_5.txt	50860	5	28454.2416974	27003.3398007	23570.6568287	26518.2599481	18665.9084924	25546.482049	20677.9583333	24130.7488789	32888.1251799	29563.2168168	27505.5332303	22218.3052308
alpha_rarefaction_50860_6.txt	50860	6	28826.3454797	27385.3912355	23856.3015777	26441.2292994	17792.1558442	25576.8584906	21126.61934	24484.8604651	33367.5125678	29693.8372922	26562.7205882	20744.4673222
alpha_rarefaction_50860_7.txt	50860	7	27976.9162956	27426.0634921	24571.0062112	26911.9917927	18716.2419048	24947.0319149	20025.9597315	24267.8610039	33660.4404878	29801.7754491	27823.562533	21495.3631517
alpha_rarefaction_50860_8.txt	50860	8	28533.781893	26791.6838311	24394.496368	27492.2401229	18484.1582642	25192.2362274	21886.8352181	24661.2453209	33938.0179462	29905.6003639	26459.6705943	21330.9309935
alpha_rarefaction_50860_9.txt	50860	9	27914.089172	26388.9822922	23648.6951741	27227.5253497	18336.1224105	24792.7504274	20839.2611821	24553.8797635	33637.0203777	29731.7407848	26750.1348601	21442.5359281
alpha_rarefaction_61030_0.txt	61030	0	30266.5510763	29326.1182944	26383.060331	28297.4961804	19260.1409966	25482.0396652	22185.0365206	26139.2884615	34631.1640404	32882.8876923	29576.1605158	22790.8555957
alpha_rarefaction_61030_1.txt	61030	1	28851.1872466	29723.479564	25965.9881075	28282.1450326	18787.0055096	25624.307386	22368.1610692	25645.4668154	35254.1881068	31157.397929	28053.2371659	22802.3360867
alpha_rarefaction_61030_2.txt	61030	2	29020.6784914	28334.9818024	25210.8240365	28005.8240607	19519.4860716	25292.4526202	23403.8333333	25841.0766629	35708.539823	30889.5820236	28966.2162397	22613.2641509
alpha_rarefaction_61030_3.txt	61030	3	30029.8127871	28561.0805749	26223.3221691	27669.3432511	19255.2861824	26200.6022222	22086.1390728	26305.8150057	35875.4342159	31370.8551237	28928.7917384	22874.479272
alpha_rarefaction_61030_4.txt	61030	4	29622.0624054	28398.8255916	26442.5	27994.7325206	19594.8882554	24849.4284218	22774.6235375	25914.0674916	35860.7278402	31258.4850563	29805.7248772	21672.2193199
alpha_rarefaction_61030_5.txt	61030	5	29216.2356928	29422.5430132	25464.5269151	27898.1963256	19519.0404098	25656.5920539	22341.9180546	25621.1950673	35471.0503451	31835.4447275	29254.896007	22886.375
alpha_rarefaction_61030_6.txt	61030	6	30349.2270249	29001.3192935	26383.8696823	28748.1668521	18657.2811135	25855.2265709	22702.6407307	26441.3459552	36248.3131271	31567.7681818	29526.5044723	23522.9248705
alpha_rarefaction_61030_7.txt	61030	7	29958.6199543	29107.834891	25228.1319693	27688.0667153	18669.9282609	25379.1198529	22833.9682101	25857.4216066	35692.2411642	32373.9693252	28754.8575198	22604.0869565
alpha_rarefaction_61030_8.txt	61030	8	29664.3015209	28260.9502595	26011.5318704	27927.3022348	19859.140411	26124.1451437	22100.4959405	26315.0328426	35585.9863524	31281.9258517	29403.8768624	23235.827463
alpha_rarefaction_61030_9.txt	61030	9	30161.2660796	28758.3965744	25878.6834458	27567.1790938	18578.4215897	25829.2326574	22884.3111423	26086.4045534	35929.9904525	31689.6336683	29420.684537	22534.8336724
alpha_rarefaction_71200_0.txt	71200	0	30252.5003195	29716.4552439	27123.7401001	27837.561194	19900.1215745	26927.0148387	23590.8233151	28365.3791374	36166.5626078	32979.5196413	29772.4518686	23456.8787466
alpha_rarefaction_71200_1.txt	71200	1	30398.7750491	29738.4745763	27437.7285319	28830.4621849	19245.1702863	25748.9599761	24446.5169023	27637.0379193	36497.0900685	34134.6175549	29997.3525019	23816.3663813
alpha_rarefaction_71200_2.txt	71200	2	30274.2577519	30419.0352304	27329.8700229	28693.9387008	19967.9985207	26052.0267966	24128.0061125	27645.074813	37005.5229293	32661.2412903	30675.7081102	22968.0399649
alpha_rarefaction_71200_3.txt	71200	3	30624.453373	30087.4237089	27323.2471751	27615.1340426	20196.9466068	26061.5918367	23042.7982808	27721.409668	36090.73706	32941.0026374	30359.2329873	23753.5300497
alpha_rarefaction_71200_4.txt	71200	4	30298.1705174	30058.2153966	27088.4897681	28296.0087905	19992.9112103	25325.0530326	23731.3469027	28267.8485626	37188.5688623	32562.0315881	29755.391159	23760.8554383
alpha_rarefaction_71200_5.txt	71200	5	30343.3946159	30626.8751486	27164.0411846	27563.8145401	20602.1400304	25740.3341523	24040.7088305	28493.1563452	36955.2646851	32369.6693966	30005.170336	24090.0970425
alpha_rarefaction_71200_6.txt	71200	6	31008.0140615	30563.9562475	27319.57282	27969.3353493	19990.4803189	25861.5030864	24331.3644225	27402.455789	37286.8944056	33868.2797672	29621.4994475	23035.0458716
alpha_rarefaction_71200_7.txt	71200	7	29522.3684211	30163.6300578	27343.6994511	28492.7087379	19902.4260739	26122.9695747	23309.9411765	27999.353272	36693.5455175	32971.8203905	30080.117802	23784.0778872
alpha_rarefaction_71200_8.txt	71200	8	30468.8406879	30928.2807901	26968.8976015	28189.993007	20293.4560162	26117.0299625	23750.3518628	26818.5036496	36636.3997923	33229.1648495	30515.9652076	24113.577381
alpha_rarefaction_71200_9.txt	71200	9	29791.3154513	30008.2596491	26757.0532972	28474.5862069	19268.5780488	25618.9457961	24001.2522577	27202.487793	37222.1338053	32917.0013175	30761.0671785	24133.6270718
alpha_rarefaction_81370_0.txt	81370	0	30782.836272	30516.2763113	28005.1240876	27988.5566849	20140.698552	26214.2601297	25724.7341772	29391.1286682	37454.1005386	35310.1587744	31191.2489313	23924.1367925
alpha_rarefaction_81370_1.txt	81370	1	31064.7771203	31399.2632674	27941.8306943	28566.1036958	20569.1478743	26236.756897	24690.3804585	28262.4403903	39113.5597345	34373.3951182	31003.229249	24712.0004093
alpha_rarefaction_81370_2.txt	81370	2	30920.0832154	30236.6891156	28075.2211888	28431.0305962	20667.2257194	26267.929482	24955.310911	29339.6206428	39064.8049754	34407.7867731	30897.7063572	24449.3878788
alpha_rarefaction_81370_3.txt	81370	3	31058.1952629	31386.0559512	27907.9154815	28330.2007762	21143.1314896	26170.2207232	25330.2137741	27881.4367171	38074.6134913	35295.7461263	31106.7430279	24269.0698603
alpha_rarefaction_81370_4.txt	81370	4	31191.3445017	30982.6401674	27959.6764706	28354.1181746	20873.0625	26256.1792478	25310.9259059	28983.8219663	38637.6985837	35593.1855469	31536.5639731	24324.7045908
alpha_rarefaction_81370_5.txt	81370	5	31080.3861989	31243.9026823	28339.4517488	28242.5550626	20918.260223	26405.8315479	25716.4536369	28312.9306585	38639.7977217	34628.6305708	30874.2592227	24509.1578947
alpha_rarefaction_81370_6.txt	81370	6	31201.5911047	31057.5216638	28591.9678783	28332.9075959	20557.547989	26644.4145681	24781.583423	28702.8731145	38449.1323029	34470.7789799	30602.3193167	24705.0702259
alpha_rarefaction_81370_7.txt	81370	7	30958.019909	31072.0789658	28353.9474343	27942.8748076	20654.0249546	25946.3266108	24770.9141949	28373.9288538	38426.3359014	35149.5070922	31289.5769616	24604.1016736
alpha_rarefaction_81370_8.txt	81370	8	30832.119863	31485.5613915	29033.4204829	28503.8808777	20355.0693878	26643.3046615	25294.1578947	28652.2772056	38126.985397	34459.875	31989.2351129	24677.1505854
alpha_rarefaction_81370_9.txt	81370	9	31054.1332765	31502.1521355	28141.1900657	28353.8237171	20842.1799451	26630.2273095	25300.7483801	29346.5510571	38633.7681383	34658.2301741	30823.8200919	24208.9152475
alpha_rarefaction_91540_0.txt	91540	0	31253.7694822	32456.442179	29440.6133732	28795.0437018	21800.868594	26596.4983059	25687.3125898	29622.4324765	39583.4393814	35918.6467541	31410.5706745	24651.0054054
alpha_rarefaction_91540_1.txt	91540	1	31291.922101	32227.6668746	29240.8818661	29183.231405	21403.38743	26163.6635581	25693.5224313	28607.1185665	38355.2227937	35129.8551819	32198.5659982	25029.3626943
alpha_rarefaction_91540_2.txt	91540	2	31474.9331646	31885.0987996	29405.7554635	28414.8886284	21319.5625	26561.2771346	25374.0388074	29272.4876712	39287.0688248	35463.1803797	32153.3110911	25268.2132353
alpha_rarefaction_91540_3.txt	91540	3	31357.5108696	32311.5017444	29604.3739992	28529.864102	21574.6822552	26622.0113746	25868.6983511	29691.9916567	40069.4455146	36167.3838004	31326.844792	25007.6164835
