CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Pleosporales_fam_Incertae_sedis	0.02094181784	0.0157258064516	0.00202016683792	0.00209581472151	0.00111892773393	0.00100105826159	0.0128994117248	0.00398767218064	0.0013219935663	0.00481677720553	0.00790007473044	0.0
Lasiosphaeriaceae	0.0470720932418	0.00779569892473	0.0067571097682	0.00463619620213	0.00327345879608	0.0025455481509	0.00749154414971	0.00217623749921	0.00502357555193	0.00363110897032	0.0173837229992	0.0
Agaricaceae	0.0025942287809	0.000112007168459	0.0209853537904	8.46793826873e-05	4.76139461248e-05	5.72033292338e-05	9.69151895177e-06	0.00111956726838	0.0	3.70521323502e-05	1.77929611046e-05	0.0
Sebacinales_Group_B	0.0637653914842	0.00383064516129	0.00947388586057	0.0023286830239	0.000523753407373	0.0231959500043	0.0231918048516	0.00100635260079	0.00257054304558	0.000703990514654	0.00556919682574	0.0
Orbiliaceae	0.00250023498449	0.000806451612903	0.0130265930583	0.00311196731376	0.000214262757562	0.000414724136945	0.00212244265044	0.00157242593874	0.0106347038	0.000240838860276	0.00290025266005	0.000133025158383
Mortierellaceae	0.0303035999624	0.00987903225806	0.0141237526341	0.0634248576328	0.0219738361366	0.00384692389097	0.0748863669403	0.00213849927668	0.03456278735	0.100207491941	0.0735916871286	0.00316489022653
Trichocomaceae	0.0797443368738	0.497491039427	0.304122185263	0.395071659928	0.451725410373	0.72599605297	0.259306281073	0.121844141141	0.567634659734	0.206028381933	0.0904238283335	0.00854132371118
Ceratobasidiaceae	0.00366575805997	0.0121639784946	0.00346563104091	0.000677435061498	0.000488042947779	0.00145868489546	0.000755938478238	0.000176111705139	0.000719752052762	0.0157286301827	0.00209956941034	0.000343648325823
Geastraceae	0.00714352852712	0.000156810035842	6.96609254454e-05	0.00925122255859	0.000309490649811	0.0499099047565	2.90745568553e-05	0.000201270520159	0.000102821721823	0.00240838860276	0.071794598057	0.0
Bionectriaceae	0.0181971989849	0.00378584229391	0.00444088399714	0.00501725342422	0.0224142651383	0.000815147441581	0.00635763643236	0.0544059374803	0.0017626580884	0.00396457816147	0.00553361090353	1.66281447979e-05
Herpotrichiellaceae	0.0214869818592	0.0266129032258	0.0232493338674	0.00829857950336	0.0145698675142	0.00225953150473	0.0311582334299	0.0230454745581	0.0102821721823	0.0191003742265	0.0351944770649	0.0
Onygenaceae	0.00451170222765	0.00557795698925	0.00395325751903	0.00950526070665	0.00409479936673	0.0117552841575	0.0121240902087	0.0110195609787	0.00423037941215	0.0040942606247	0.00398562328743	0.000764894660703
Clavicipitaceae	0.00823385656547	0.00275537634409	0.000278643701782	0.000592755678811	0.000845147543716	7.15041615422e-05	0.000319820125408	0.000465438077867	0.000822573774585	0.000463151654378	0.000498202910928	0.0
Hypocreaceae	0.00949337343735	0.00432347670251	0.00646105083506	0.0039799309863	0.00471378066636	0.0263421331121	0.00227750695366	0.00274231083716	0.00204174561906	0.0146541183445	0.00368314294865	0.0
Hypocreales_fam_Incertae_sedis	0.00879781934392	0.0230734767025	0.113024851535	0.00355653407287	0.00948707876537	0.00317478477247	0.0161654536115	0.00539656582175	0.0574626536818	0.0290118196302	0.0303369986833	0.0110909725802
Cucurbitariaceae	0.00575242034026	0.00232974910394	0.00407516413856	0.00268857040032	0.00422573771858	0.00158739238624	0.00181231404398	0.00806340021385	0.00139543765331	0.0131349809182	0.00642325895876	0.0
Cordycipitaceae	0.000733151611994	0.00145609318996	0.000766270179899	0.000529246141796	0.000380911568999	0.000572033292338	0.000436118352829	0.000276746965218	0.000190954626243	0.000370521323502	0.0652823742927	0.000792608235366
Pezizomycotina_fam_Incertae_sedis	0.0112604568099	0.00786290322581	0.0105187997423	0.0175921417533	0.0185456320156	0.00483368132025	0.0175901068975	0.0476004780175	0.00781445085856	0.0238800992997	0.0191986050318	0.0231796338483
Terramycetaceae	0.000526365259893	0.000739247311828	0.000121906619529	4.23396913437e-05	5.9517432656e-05	0.000143008323084	0.00549509124565	0.00354739291779	0.00233552196713	0.0089295638964	0.0106579837016	0.0
Tremellales_fam_Incertae_sedis	0.0113732493655	0.00336021505376	0.00560770449835	0.0147130427419	0.0629575402635	0.0110974458713	0.0256825252222	0.0117869048368	0.00859295818094	0.00735484827152	0.00759759439166	5.54271493263e-05
Leptosphaeriaceae	3.75975185638e-05	6.72043010753e-05	0.0	0.0	0.0	0.0	3.87660758071e-05	0.00945971444745	4.40664522099e-05	0.0	0.0	0.0
Teratosphaeriaceae	0.00304539900367	0.00400985663082	0.0015325403598	0.00190528611046	0.00153554976253	0.00105826159082	0.00212244265044	0.00888106170199	0.00265867595	0.00402015636	0.00432368954841	0.0
Melanotaeniaceae	1.87987592819e-05	0.000716845878136	0.00144546420299	0.00139720981434	0.000678498732279	0.000128707490776	0.000465192909685	0.000138373482609	0.000352531617679	0.00902219422728	0.00170812426604	0.00562585565662
Rhizophydiales_fam_Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152757223543
Cunninghamellaceae	0.00671115706363	0.00340501792115	0.018024764459	0.0226305650232	0.0263900296397	0.00792266109888	0.0449201903414	0.00237750801937	0.00763818504972	0.0120789951462	0.0100708159852	0.0
