CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Trichoderma	0.00520725632108	0.00203853046595	0.00367461381724	0.00171475749942	0.00198788225071	0.0239538941166	0.00113390771736	0.0012705201585	0.000749129687569	0.0125421468005	0.00218853421586	0.0
Arrhenia	1.87987592819e-05	0.0124551971326	1.74152313613e-05	0.0	1.19034865312e-05	0.0	0.0	0.0	0.0	0.0	5.33788833138e-05	0.0
Guehomyces	0.000469968982047	0.000492831541219	0.00172410790477	0.00309079746809	0.00183313692581	0.00130137574007	0.012463293372	0.0121265488395	0.00600772631795	0.00200081514691	0.00186826091598	0.0
Pyrenochaetopsis	0.00575242034026	0.00232974910394	0.00407516413856	0.00268857040032	0.00422573771858	0.00158739238624	0.00181231404398	0.00806340021385	0.00139543765331	0.0131349809182	0.00642325895876	0.0
Exophiala	0.000751950371275	0.00156810035842	0.000835931105345	0.00306962762241	0.00230927638705	0.000657838286188	0.00905187870095	0.00410088684823	0.00210050088867	0.00583571084516	0.0139318885449	0.0
Chalara	1.87987592819e-05	2.24014336918e-05	0.0	0.000381057222093	0.000345201109405	0.000657838286188	0.00205460201777	0.0159758475376	0.000572863878729	0.000963355441106	0.00103199174407	0.0
Cladophialophora	0.0198138922831	0.0239023297491	0.0218212848958	0.00404344052332	0.0104155507148	0.00117266824929	0.0197416241047	0.0146172715265	0.00680092245773	0.010152284264	0.0149460873279	0.0
Ciliophora	0.000244383870665	0.000156810035842	0.000330889395866	0.005482990029	0.00170219857396	0.000286016646169	0.00251010340851	0.0274482671866	0.00155701464475	0.000222312794101	0.00585388420341	0.0222817140292
Purpureocillium	0.00853463671398	0.00311379928315	0.00755821041083	0.00351419438152	0.00543989334476	0.00104396075852	0.00638671098921	0.00166048179131	0.00384847015967	0.00944829374931	0.00345183445429	0.0
Massariosphaeria	0.00107152927907	0.0152777777778	0.000714024485815	0.000889133518217	0.000583270840029	0.000286016646169	0.0103796167973	0.00140889364111	0.00102821721823	0.00122272036756	0.00234867086581	0.0
Penicillium	0.0598552495535	0.461111111111	0.295188171575	0.0747718949129	0.075539525527	0.0826159082459	0.0674432803853	0.0284923580099	0.0453150016892	0.183056059876	0.0841962919469	0.00154087475127
Gongronella	0.00669235830435	0.00340501792115	0.018024764459	0.0226305650232	0.0263543191801	0.00792266109888	0.0448814242656	0.00237750801937	0.00762349623232	0.0120048908815	0.010035230063	0.0
Subplenodomus	3.75975185638e-05	6.72043010753e-05	0.0	0.0	0.0	0.0	3.87660758071e-05	0.00945971444745	4.40664522099e-05	0.0	0.0	0.0
Cordyceps	0.00039477394492	6.72043010753e-05	0.000296058933143	0.000148188919703	0.000107131378781	8.58049938506e-05	9.69151895177e-05	0.000113214667589	5.87552696132e-05	0.000129682463226	0.0648909291484	0.0
Aphanoascus	0.00411692828273	0.00468189964158	0.00395325751903	0.00950526070665	0.00405908890714	0.0117552841575	0.0119496428675	0.0109818227561	0.00423037941215	0.0038719478306	0.00395003736522	0.0
Clonostachys	0.0179904126328	0.00371863799283	0.00444088399714	0.00501725342422	0.0224023616517	0.000815147441581	0.00499113226016	0.0543933580728	0.0017626580884	0.00396457816147	0.00539126721469	1.66281447979e-05
Fusarium	0.0288184979791	0.00584677419355	0.0224134027621	0.015221119038	0.0429715863776	0.00870920687584	0.0269521142049	0.0547833197056	0.0130436698541	0.0272888954759	0.0291982491726	0.406114723114
Ascochyta	0.0198326910424	0.000336021505376	0.000330889395866	0.000719774752842	0.000333297622874	0.000243114149243	0.0013471211343	0.00210076105415	0.000146888174033	0.00314943124977	0.00357638518202	0.0
Sphaerobolus	0.00714352852712	0.000156810035842	6.96609254454e-05	0.00925122255859	0.000178552297968	0.0498813030918	2.90745568553e-05	3.77382225297e-05	0.0	0.00240838860276	0.071794598057	0.0
Cryptococcus	0.0111100667356	0.00322580645161	0.00553804357291	0.0146918728962	0.0628861193444	0.0110688442067	0.0255856100327	0.0115604755016	0.00857826936353	0.00731779613917	0.00754421550834	1.66281447979e-05
Paludomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152757223543
