	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_22325_3.txt	22325	3	2406.0	1894.0	1999.0	2048.0	1663.0	1414.0	1847.0	2214.0	337.0	2176.0	1801.0	1570.0
alpha_rarefaction_22325_4.txt	22325	4	2360.0	1872.0	2015.0	2046.0	1699.0	1407.0	1853.0	2212.0	356.0	2126.0	1823.0	1622.0
alpha_rarefaction_22325_5.txt	22325	5	2378.0	1882.0	2025.0	2050.0	1637.0	1394.0	1886.0	2228.0	355.0	2180.0	1816.0	1620.0
alpha_rarefaction_22325_6.txt	22325	6	2395.0	1884.0	2007.0	2054.0	1638.0	1435.0	1848.0	2227.0	382.0	2132.0	1803.0	1580.0
alpha_rarefaction_22325_7.txt	22325	7	2426.0	1884.0	2002.0	2033.0	1695.0	1409.0	1905.0	2221.0	346.0	2127.0	1832.0	1630.0
alpha_rarefaction_22325_8.txt	22325	8	2377.0	1902.0	2003.0	2008.0	1693.0	1385.0	1897.0	2238.0	367.0	2111.0	1845.0	1585.0
alpha_rarefaction_22325_9.txt	22325	9	2394.0	1867.0	1993.0	2073.0	1687.0	1402.0	1908.0	2205.0	365.0	2149.0	1848.0	1607.0
alpha_rarefaction_26788_0.txt	26788	0	2610.0	2104.0	2214.0	2353.0	1870.0	1573.0	2094.0	2511.0	396.0	2410.0	2038.0	1766.0
alpha_rarefaction_26788_1.txt	26788	1	2643.0	2083.0	2253.0	2313.0	1872.0	1569.0	2114.0	2475.0	376.0	2399.0	2050.0	1829.0
alpha_rarefaction_26788_2.txt	26788	2	2650.0	2107.0	2236.0	2301.0	1853.0	1573.0	2107.0	2459.0	381.0	2430.0	1984.0	1788.0
alpha_rarefaction_26788_3.txt	26788	3	2615.0	2114.0	2268.0	2300.0	1896.0	1589.0	2114.0	2502.0	386.0	2428.0	2005.0	1762.0
alpha_rarefaction_26788_4.txt	26788	4	2648.0	2120.0	2230.0	2291.0	1874.0	1586.0	2056.0	2506.0	395.0	2400.0	2027.0	1820.0
alpha_rarefaction_26788_5.txt	26788	5	2637.0	2110.0	2271.0	2330.0	1938.0	1594.0	2100.0	2452.0	405.0	2402.0	2008.0	1792.0
alpha_rarefaction_26788_6.txt	26788	6	2643.0	2064.0	2281.0	2327.0	1855.0	1623.0	2096.0	2492.0	391.0	2419.0	2003.0	1779.0
alpha_rarefaction_26788_7.txt	26788	7	2660.0	2104.0	2227.0	2244.0	1898.0	1623.0	2120.0	2510.0	397.0	2447.0	2026.0	1804.0
alpha_rarefaction_26788_8.txt	26788	8	2620.0	2111.0	2245.0	2315.0	1857.0	1582.0	2092.0	2525.0	391.0	2435.0	2002.0	1777.0
alpha_rarefaction_26788_9.txt	26788	9	2657.0	2108.0	2230.0	2298.0	1907.0	1588.0	2105.0	2451.0	390.0	2401.0	2011.0	1806.0
alpha_rarefaction_31251_0.txt	31251	0	2837.0	2305.0	2447.0	2500.0	2111.0	1731.0	2308.0	2707.0	413.0	2681.0	2135.0	1982.0
alpha_rarefaction_31251_1.txt	31251	1	2866.0	2277.0	2479.0	2528.0	2123.0	1776.0	2278.0	2671.0	407.0	2670.0	2227.0	1996.0
alpha_rarefaction_31251_2.txt	31251	2	2875.0	2285.0	2500.0	2497.0	2072.0	1753.0	2297.0	2685.0	414.0	2660.0	2160.0	1973.0
alpha_rarefaction_31251_3.txt	31251	3	2865.0	2293.0	2469.0	2493.0	2066.0	1706.0	2290.0	2689.0	390.0	2657.0	2213.0	1947.0
alpha_rarefaction_31251_4.txt	31251	4	2890.0	2291.0	2465.0	2540.0	2067.0	1728.0	2310.0	2697.0	414.0	2700.0	2198.0	1957.0
alpha_rarefaction_31251_5.txt	31251	5	2878.0	2297.0	2435.0	2531.0	2066.0	1758.0	2304.0	2702.0	407.0	2647.0	2181.0	1980.0
alpha_rarefaction_31251_6.txt	31251	6	2832.0	2314.0	2445.0	2512.0	2089.0	1774.0	2279.0	2745.0	413.0	2735.0	2208.0	1977.0
alpha_rarefaction_31251_7.txt	31251	7	2842.0	2316.0	2448.0	2501.0	2084.0	1753.0	2330.0	2692.0	410.0	2656.0	2186.0	1993.0
alpha_rarefaction_31251_8.txt	31251	8	2838.0	2298.0	2483.0	2492.0	2083.0	1737.0	2296.0	2686.0	439.0	2659.0	2177.0	1958.0
alpha_rarefaction_31251_9.txt	31251	9	2825.0	2288.0	2453.0	2484.0	2048.0	1791.0	2297.0	2700.0	399.0	2593.0	2190.0	2018.0
alpha_rarefaction_35714_0.txt	35714	0	3051.0	2460.0	2616.0	2716.0	2234.0	1934.0	2468.0	2905.0	429.0	2867.0	2370.0	2147.0
alpha_rarefaction_35714_1.txt	35714	1	3044.0	2438.0	2656.0	2707.0	2233.0	1929.0	2508.0	2913.0	439.0	2896.0	2365.0	2162.0
alpha_rarefaction_35714_2.txt	35714	2	3046.0	2462.0	2631.0	2725.0	2289.0	1923.0	2481.0	2916.0	434.0	2878.0	2336.0	2184.0
alpha_rarefaction_35714_3.txt	35714	3	3057.0	2433.0	2623.0	2737.0	2253.0	1922.0	2476.0	2904.0	423.0	2880.0	2351.0	2150.0
alpha_rarefaction_35714_4.txt	35714	4	3066.0	2472.0	2624.0	2725.0	2269.0	1936.0	2463.0	2829.0	430.0	2948.0	2368.0	2111.0
alpha_rarefaction_35714_5.txt	35714	5	3073.0	2463.0	2688.0	2675.0	2248.0	1918.0	2473.0	2897.0	420.0	2846.0	2362.0	2118.0
alpha_rarefaction_35714_6.txt	35714	6	3060.0	2454.0	2648.0	2722.0	2312.0	1901.0	2473.0	2947.0	417.0	2857.0	2328.0	2182.0
alpha_rarefaction_35714_7.txt	35714	7	3042.0	2482.0	2645.0	2699.0	2266.0	1910.0	2473.0	2843.0	430.0	2901.0	2381.0	2153.0
alpha_rarefaction_35714_8.txt	35714	8	3041.0	2467.0	2630.0	2698.0	2249.0	1918.0	2475.0	2901.0	427.0	2853.0	2364.0	2148.0
alpha_rarefaction_35714_9.txt	35714	9	3020.0	2477.0	2659.0	2732.0	2238.0	1924.0	2503.0	2931.0	417.0	2890.0	2370.0	2143.0
alpha_rarefaction_40177_0.txt	40177	0	3233.0	2635.0	2827.0	2901.0	2434.0	2029.0	2644.0	3075.0	451.0	3059.0	2496.0	2306.0
alpha_rarefaction_40177_1.txt	40177	1	3240.0	2623.0	2808.0	2883.0	2422.0	2076.0	2667.0	3053.0	447.0	3090.0	2510.0	2302.0
alpha_rarefaction_40177_2.txt	40177	2	3236.0	2620.0	2836.0	2894.0	2443.0	2056.0	2629.0	3075.0	446.0	3057.0	2484.0	2297.0
alpha_rarefaction_40177_3.txt	40177	3	3253.0	2615.0	2827.0	2896.0	2458.0	2091.0	2644.0	3096.0	465.0	3040.0	2479.0	2328.0
alpha_rarefaction_40177_4.txt	40177	4	3227.0	2625.0	2812.0	2891.0	2433.0	2061.0	2647.0	3092.0	452.0	3072.0	2527.0	2283.0
alpha_rarefaction_40177_5.txt	40177	5	3273.0	2617.0	2834.0	2886.0	2435.0	2044.0	2664.0	3061.0	456.0	3105.0	2537.0	2337.0
alpha_rarefaction_40177_6.txt	40177	6	3255.0	2627.0	2824.0	2901.0	2442.0	2107.0	2660.0	3050.0	454.0	3107.0	2517.0	2294.0
alpha_rarefaction_40177_7.txt	40177	7	3242.0	2639.0	2802.0	2891.0	2465.0	2087.0	2650.0	3085.0	443.0	3075.0	2492.0	2344.0
alpha_rarefaction_40177_8.txt	40177	8	3278.0	2602.0	2816.0	2887.0	2409.0	2092.0	2640.0	3077.0	449.0	3067.0	2488.0	2308.0
alpha_rarefaction_40177_9.txt	40177	9	3219.0	2641.0	2809.0	2884.0	2448.0	2049.0	2634.0	3053.0	448.0	3085.0	2464.0	2300.0
